resp,task01,task02,task03,task04,task05,task06
312,2.0,1.0,4.0,3.0,4.0,3.0
313,1.0,1.0,3.0,4.0,2.0,4.0
314,4.0,2.0,3.0,1.0,1.0,3.0
315,1.0,4.0,2.0,2.0,2.0,4.0
316,1.0,3.0,1.0,1.0,1.0,3.0
317,1.0,1.0,2.0,4.0,4.0,3.0
318,1.0,1.0,3.0,3.0,2.0,2.0
319,2.0,4.0,2.0,2.0,3.0,2.0
320,3.0,1.0,3.0,3.0,2.0,2.0
321,1.0,4.0,2.0,3.0,4.0,2.0
322,4.0,4.0,2.0,4.0,1.0,1.0
323,4.0,3.0,3.0,3.0,3.0,3.0
324,3.0,4.0,4.0,3.0,3.0,2.0
325,4.0,1.0,4.0,3.0,4.0,1.0
326,1.0,4.0,1.0,3.0,1.0,1.0
327,4.0,4.0,4.0,3.0,4.0,4.0
328,2.0,1.0,3.0,2.0,4.0,4.0
329,3.0,4.0,3.0,3.0,2.0,3.0
330,1.0,4.0,3.0,1.0,2.0,3.0
331,1.0,2.0,2.0,1.0,2.0,3.0
332,2.0,3.0,3.0,2.0,1.0,2.0
333,2.0,3.0,4.0,3.0,2.0,2.0
334,1.0,2.0,1.0,1.0,4.0,3.0
335,1.0,2.0,3.0,2.0,1.0,3.0
336,3.0,4.0,1.0,3.0,4.0,2.0
337,4.0,1.0,4.0,2.0,4.0,4.0
338,4.0,1.0,3.0,4.0,4.0,4.0
339,3.0,3.0,4.0,2.0,3.0,1.0
340,4.0,1.0,3.0,1.0,1.0,3.0
341,2.0,2.0,3.0,3.0,1.0,4.0
342,1.0,2.0,2.0,2.0,1.0,2.0
343,3.0,2.0,1.0,2.0,2.0,2.0
344,3.0,3.0,4.0,1.0,3.0,2.0
345,3.0,3.0,3.0,1.0,1.0,3.0
346,2.0,2.0,2.0,3.0,1.0,4.0
347,4.0,4.0,4.0,3.0,3.0,4.0
348,2.0,1.0,1.0,2.0,1.0,1.0
349,2.0,1.0,3.0,3.0,3.0,3.0
350,4.0,4.0,1.0,3.0,4.0,1.0
351,1.0,2.0,4.0,1.0,2.0,2.0
352,3.0,4.0,2.0,1.0,3.0,3.0
353,2.0,1.0,3.0,1.0,4.0,4.0
354,4.0,2.0,3.0,2.0,3.0,4.0
355,3.0,3.0,3.0,2.0,4.0,4.0
356,3.0,2.0,2.0,4.0,1.0,1.0
357,2.0,3.0,1.0,4.0,3.0,2.0
358,3.0,2.0,2.0,3.0,4.0,4.0
359,2.0,3.0,3.0,1.0,1.0,1.0
360,1.0,3.0,3.0,1.0,3.0,1.0
361,3.0,2.0,3.0,1.0,2.0,3.0
362,3.0,2.0,4.0,4.0,2.0,3.0
363,2.0,2.0,1.0,4.0,2.0,2.0
364,1.0,4.0,2.0,4.0,2.0,2.0
365,2.0,4.0,3.0,1.0,2.0,3.0
366,4.0,4.0,2.0,1.0,2.0,2.0
367,1.0,1.0,4.0,2.0,3.0,1.0
368,2.0,1.0,1.0,3.0,3.0,1.0
369,4.0,2.0,3.0,1.0,2.0,3.0
370,2.0,2.0,1.0,1.0,2.0,4.0
371,3.0,2.0,3.0,3.0,1.0,3.0
372,2.0,1.0,3.0,1.0,2.0,2.0
373,1.0,2.0,4.0,4.0,4.0,4.0
374,2.0,2.0,4.0,3.0,2.0,3.0
375,1.0,2.0,1.0,3.0,4.0,2.0
376,2.0,2.0,3.0,1.0,1.0,3.0
377,1.0,1.0,3.0,4.0,4.0,3.0
378,3.0,2.0,4.0,1.0,2.0,2.0
379,2.0,4.0,3.0,1.0,3.0,4.0
380,1.0,2.0,1.0,3.0,4.0,1.0
381,3.0,2.0,2.0,2.0,1.0,4.0
382,2.0,3.0,1.0,2.0,3.0,3.0
383,1.0,3.0,4.0,1.0,1.0,1.0
384,1.0,1.0,1.0,2.0,4.0,2.0
385,1.0,3.0,3.0,3.0,3.0,3.0
386,1.0,2.0,2.0,1.0,2.0,1.0
387,1.0,1.0,3.0,3.0,2.0,2.0
388,4.0,2.0,4.0,3.0,4.0,3.0
389,4.0,2.0,3.0,2.0,1.0,1.0
390,4.0,1.0,2.0,2.0,1.0,1.0
391,2.0,3.0,3.0,4.0,2.0,4.0
392,4.0,4.0,4.0,2.0,4.0,1.0
393,2.0,2.0,1.0,2.0,3.0,2.0
394,4.0,2.0,1.0,4.0,3.0,1.0
